Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
23,6,3,2,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Car,Slight
23,6,3,2,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Car,Slight
6,6,10,1,A(M),Dry,Darkness: no street lighting,Fine with high winds,Car,Slight
6,4,11,4,A(M),Dry,Darkness: no street lighting,Fine with high winds,Car,Slight
6,4,11,4,A(M),Dry,Darkness: no street lighting,Fine with high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
1,1,2,1,Motorway,Dry,Darkness: no street lighting,Fine with high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
2,2,1,2,A(M),Wet / Damp,Darkness: no street lighting,Fine with high winds,Goods vehicle 7.5 tonnes mgw and over,Serious
2,2,1,2,A(M),Wet / Damp,Darkness: no street lighting,Fine with high winds,Goods vehicle 7.5 tonnes mgw and over,Serious
21,6,10,1,Unclassified,Dry,Darkness: street lighting unknown,Fine with high winds,Car,Slight
21,1,4,2,Unclassified,Dry,Darkness: street lighting unknown,Fine with high winds,Pedal cycle,Slight
21,3,4,2,A,Dry,Darkness: street lighting unknown,Fine with high winds,Car,Slight
18,3,1,2,A,Wet / Damp,Darkness: street lighting unknown,Fine with high winds,Car,Slight
16,5,12,2,A,Wet / Damp,Darkness: street lighting unknown,Fine with high winds,Car,Slight
6,4,3,3,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Motorcycle over 125cc and up to 500cc,Serious
21,3,4,3,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Motorcycle over 50cc and up to 125cc,Serious
19,6,10,2,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
19,6,1,2,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
6,4,3,3,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
2,2,5,1,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
21,3,2,1,Motorway,Dry,Darkness: street lights present and lit,Fine with high winds,Goods vehicle 7.5 tonnes mgw and over,Slight
18,4,2,2,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
6,1,2,2,A,Dry,Darkness: street lights present and lit,Fine with high winds,Pedal cycle,Slight
1,2,3,2,Motorway,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
18,4,11,2,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
19,2,12,2,A,Dry,Darkness: street lights present and lit,Fine with high winds,Car,Slight
0,2,12,1,A,Frost / Ice,Darkness: street lights present and lit,Fine with high winds,Car,Slight
18,3,2,5,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Serious
19,5,10,2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedal cycle,Serious
19,2,3,2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedal cycle,Slight
22,6,10,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
15,1,10,2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
2,2,11,2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Motorcycle over 50cc and up to 125cc,Slight
17,3,11,2,B,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
17,2,12,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
3,6,1,2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
18,3,2,5,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
18,3,2,5,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
18,3,2,5,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
16,4,12,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,M/cycle 50cc and under,Slight
21,3,1,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
21,3,1,2,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
20,6,10,2,A(M),Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
21,1,12,2,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
3,4,2,1,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
22,6,11,2,B,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedal cycle,Slight
22,7,12,2,B,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
17,1,12,1,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Car,Slight
13,2,4,1,A,Dry,Daylight: street lights present,Fine with high winds,Motorcycle over 50cc and up to 125cc,Serious
11,3,2,3,A(M),Dry,Daylight: street lights present,Fine with high winds,Car,Serious
15,4,11,2,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Car,Serious
17,4,6,2,A,Dry,Daylight: street lights present,Fine with high winds,Motorcycle over 125cc and up to 500cc,Slight
